osm_id,osm_type,name,operator,street,city,state,zip,country,lat,lon,building,telecom,man_made,start_date,power,tags_raw,opening_year,opening_year_method,opening_year_confidence
6401035673,node,Rack59 Data Center,,7725 West Reno Avenue,Oklahoma CIty,OK,73127,,35.4672049,-97.6497453,,data_center,,,,"{""addr:city"": ""Oklahoma CIty"", ""addr:housenumber"": ""7725"", ""addr:postcode"": ""73127"", ""addr:state"": ""OK"", ""addr:street"": ""West Reno Avenue"", ""addr:unit"": ""385"", ""name"": ""Rack59 Data Center"", ""telecom"": ""data_center""}",,not_found,none
6625492701,node,Oso Grande,Oso Grande,725 6th Street Northwest,Albuquerque,NM,87102,,35.0925015,-106.6536712,,data_center,,,,"{""addr:city"": ""Albuquerque"", ""addr:housenumber"": ""725"", ""addr:postcode"": ""87102"", ""addr:state"": ""NM"", ""addr:street"": ""6th Street Northwest"", ""addr:unit"": ""C"", ""name"": ""Oso Grande"", ""operator"": ""Oso Grande"", ""ref"": ""OSO"", ""telecom"": ""data_center""}",,not_found,none
6685432442,node,Switch Tahoe Reno - The Citadel Campus,Switch,1 Superloop Circle,McCarran,NV,89434,,39.5140963,-119.4795921,,data_center,,,,"{""addr:city"": ""McCarran"", ""addr:housenumber"": ""1"", ""addr:postcode"": ""89434"", ""addr:state"": ""NV"", ""addr:street"": ""Superloop Circle"", ""name"": ""Switch Tahoe Reno - The Citadel Campus"", ""operator"": ""Switch"", ""telecom"": ""data_center""}",2017.0,baxtel:/data-center/switch-tahoe-reno-the-citadel-campus,medium
6793837329,node,Morgan Wireless,,303 North Washington Street,Bath (Berkeley Springs),WV,25411,,39.6309851,-78.2253196,,data_center,,,,"{""addr:city"": ""Bath (Berkeley Springs)"", ""addr:housenumber"": ""303"", ""addr:postcode"": ""25411"", ""addr:state"": ""WV"", ""addr:street"": ""North Washington Street"", ""addr:unit"": ""1"", ""name"": ""Morgan Wireless"", ""phone"": ""+1-304-592-8330"", ""telecom"": ""data_center"", ""website"": ""https://www.morganwireless.net""}",,not_found,none
6856057098,node,VIRTBIZ,,2805 Canton Street,Dallas,TX,75226,,32.7825463,-96.7828145,,data_center,,,,"{""addr:city"": ""Dallas"", ""addr:housenumber"": ""2805"", ""addr:postcode"": ""75226"", ""addr:state"": ""TX"", ""addr:street"": ""Canton Street"", ""description"": ""Web hosting, dedicated servers, VPS and colocation."", ""name"": ""VIRTBIZ"", ""phone"": ""+1-972-485-4125"", ""telecom"": ""data_center"", ""website"": ""https://www.virtbiz.com/""}",,not_found,none
7171975407,node,FirstLight Data Center,FirstLight,340 Cumberland Avenue,Portland,ME,04101,,43.6578388,-70.2613785,,data_center,,,,"{""addr:city"": ""Portland"", ""addr:housenumber"": ""340"", ""addr:postcode"": ""04101"", ""addr:state"": ""ME"", ""addr:street"": ""Cumberland Avenue"", ""addr:unit"": ""7"", ""name"": ""FirstLight Data Center"", ""operator"": ""FirstLight"", ""telecom"": ""data_center"", ""website"": ""https://www.firstlight.net/products/data-center/portland-me-data-center/""}",1999.0,baxtel:/data-center/firstlight-portland-me,medium
7264976228,node,Learning GIS!,,,,,,,40.42179,-86.9141546,,data_center,,,,"{""name"": ""Learning GIS!"", ""telecom"": ""data_center""}",,not_found,none
7264976991,node,Agricultural and Biological Engineering,,,,,,,40.4218543,-86.9165454,,data_center,,,,"{""description"": ""Youthmapper generated Purdue GIS classroom or data labs."", ""name"": ""Agricultural and Biological Engineering"", ""telecom"": ""data_center""}",,not_found,none
7324132050,node,Windstream Communications,,5400 South Miami Boulevard,Durham,NC,27703,,35.881397,-78.851552,,data_center,,,,"{""addr:city"": ""Durham"", ""addr:housenumber"": ""5400"", ""addr:postcode"": ""27703"", ""addr:state"": ""NC"", ""addr:street"": ""South Miami Boulevard"", ""addr:unit"": ""134"", ""name"": ""Windstream Communications"", ""telecom"": ""data_center"", ""wikidata"": ""Q8024771"", ""wikipedia"": ""en:Windstream Holdings""}",,not_found,none
7324132051,node,Level 3 Communications,,5400 South Miami Boulevard,Durham,NC,27703,,35.881364,-78.8515726,,data_center,,,,"{""addr:city"": ""Durham"", ""addr:housenumber"": ""5400"", ""addr:postcode"": ""27703"", ""addr:state"": ""NC"", ""addr:street"": ""South Miami Boulevard"", ""addr:unit"": ""135"", ""name"": ""Level 3 Communications"", ""telecom"": ""data_center"", ""wikidata"": ""Q322320"", ""wikipedia"": ""en:Level 3 Communications""}",2010.0,wikipedia:Level 3 Communications,medium
7557854384,node,OptimumHQ,,1955 South Val Vista Drive,Mesa,AZ,85206,,33.3804149,-111.7526684,,data_center,,,,"{""addr:city"": ""Mesa"", ""addr:housenumber"": ""1955"", ""addr:postcode"": ""85206"", ""addr:state"": ""AZ"", ""addr:street"": ""South Val Vista Drive"", ""name"": ""OptimumHQ"", ""source"": ""esri/USA_NAD_Addresses"", ""telecom"": ""data_center""}",,not_found,none
7557868585,node,The Chatfield Group,,1955 South Val Vista Drive,Mesa,AZ,85206,,33.380601,-111.7528888,,data_center,,,,"{""addr:city"": ""Mesa"", ""addr:housenumber"": ""1955"", ""addr:postcode"": ""85206"", ""addr:state"": ""AZ"", ""addr:street"": ""South Val Vista Drive"", ""name"": ""The Chatfield Group"", ""source"": ""esri/USA_NAD_Addresses"", ""telecom"": ""data_center""}",,not_found,none
7578821329,node,All About Serving Process Server,,1909 East Ray Road,Chandler,AZ,85225,,33.3199157,-111.809686,,data_center,,,,"{""addr:city"": ""Chandler"", ""addr:housenumber"": ""1909"", ""addr:postcode"": ""85225"", ""addr:state"": ""AZ"", ""addr:street"": ""East Ray Road"", ""name"": ""All About Serving Process Server"", ""source"": ""esri/USA_NAD_Addresses"", ""telecom"": ""data_center""}",,not_found,none
7737996606,node,Emailage,,,,,,,33.302965,-111.8405386,,data_center,,,,"{""name"": ""Emailage"", ""telecom"": ""data_center""}",,not_found,none
7821940847,node,Alliance Technology,,4850 East Baseline Road,Mesa,AZ,85206,,33.3799862,-111.728405,,data_center,,,,"{""addr:city"": ""Mesa"", ""addr:housenumber"": ""4850"", ""addr:postcode"": ""85206"", ""addr:state"": ""AZ"", ""addr:street"": ""East Baseline Road"", ""name"": ""Alliance Technology"", ""source"": ""esri/USA_NAD_Addresses"", ""telecom"": ""data_center""}",,not_found,none
7985753364,node,8100 Boone Boulevard,Digital Realty,8100 Boone Boulevard,,,,,38.9137236,-77.2258825,,data_center,,,,"{""addr:housenumber"": ""8100"", ""addr:street"": ""Boone Boulevard"", ""name"": ""8100 Boone Boulevard"", ""operator"": ""Digital Realty"", ""operator:wikidata"": ""Q5275969"", ""operator:wikipedia"": ""en:Digital Realty"", ""owner"": ""Digital Realty"", ""telecom"": ""data_center""}",2015.0,baxtel:/data-center/8100-boone-digital-realty,medium
8017899486,node,HiPerGator,University of Florida,,,,,,29.6728187,-82.2997617,,data_center,,,,"{""access"": ""private"", ""check_date"": ""2023-08-06"", ""description"": ""The most powerful university supercomputer in the Southern United States"", ""level"": ""0"", ""manufacturer"": ""NVIDIA"", ""manufacturer:type"": ""DGX A10 SuperPOD™"", ""manufacturer:wikidata"": ""Q182477"", ""name"": ""HiPerGator"", ""office"": ""research"", ""operator"": ""University of Florida"", ""ref"": ""Version 3.0"", ""research"": ""computer_science"", ""telecom"": ""data_center"", ""website"": ""https://www.rc.ufl.edu/services/hipergator/""}",,not_found,none
8109664813,node,Atlanta ATL13,Digital Realty,56 Marietta Street,Atlanta,GA,30303,,33.7555186,-84.3914814,,data_center,,,,"{""addr:city"": ""Atlanta"", ""addr:housenumber"": ""56"", ""addr:postcode"": ""30303"", ""addr:state"": ""GA"", ""addr:street"": ""Marietta Street"", ""name"": ""Atlanta ATL13"", ""operator"": ""Digital Realty"", ""operator:wikidata"": ""Q5275969"", ""ref"": ""ATL13"", ""telecom"": ""data_center"", ""website"": ""https://www.digitalrealty.com/data-centers/americas/atlanta/atl13""}",2017.0,wikipedia_city:Digital Realty,medium
8165754026,node,Data Holdings Data Center,,3135 West Highland Boulevard,Milwaukee,WI,53208-3251,,43.0439408,-87.9539794,,data_center,,,,"{""addr:city"": ""Milwaukee"", ""addr:housenumber"": ""3135"", ""addr:postcode"": ""53208-3251"", ""addr:state"": ""WI"", ""addr:street"": ""West Highland Boulevard"", ""contact:email"": ""sales@dataholdings.com"", ""contact:facebook"": ""https://www.facebook.com/Data-Holdings-Data-Center-570409053327886/"", ""contact:phone"": ""+1 414 837 5502"", ""contact:twitter"": ""https://twitter.com/dataholdingsmke"", ""contact:website"": ""https://www.dataholdings.com/"", ""name"": ""Data Holdings Data Center"", ""office"": ""company"", ""owner"": ""Potawatomi Business Development Corporation"", ""short_name"": ""Data Holdings"", ""telecom"": ""data_center""}",,not_found,none
8238715059,node,STACK Infrastructure,"Stack Infrastructure, Incorporated",2150 Trade Zone Boulevard,San Jose,CA,95131,,37.4027449,-121.891051,,data_center,,,,"{""addr:city"": ""San Jose"", ""addr:housenumber"": ""2150"", ""addr:postcode"": ""95131"", ""addr:state"": ""CA"", ""addr:street"": ""Trade Zone Boulevard"", ""addr:unit"": ""107"", ""fixme"": ""Somewhere on this floor"", ""level"": ""0"", ""name"": ""STACK Infrastructure"", ""operator"": ""Stack Infrastructure, Incorporated"", ""telecom"": ""data_center""}",,not_found,none
8238715061,node,STACK Infrastructure,"Stack Infrastructure, Incorporated",2150 Trade Zone Boulevard,San Jose,CA,95131,,37.4026341,-121.891057,,data_center,,,,"{""addr:city"": ""San Jose"", ""addr:housenumber"": ""2150"", ""addr:postcode"": ""95131"", ""addr:state"": ""CA"", ""addr:street"": ""Trade Zone Boulevard"", ""addr:unit"": ""201"", ""fixme"": ""Somewhere on this floor"", ""level"": ""1"", ""name"": ""STACK Infrastructure"", ""operator"": ""Stack Infrastructure, Incorporated"", ""telecom"": ""data_center""}",,not_found,none
8477460442,node,Digital West Data Center,,,,,,,35.2553162,-120.6415128,,data_center,,,,"{""name"": ""Digital West Data Center"", ""telecom"": ""data_center""}",,not_found,none
8641856300,node,Chick-fil-A Hiring Center,Dennis Sampier,,,,,,42.6279424,-82.9883939,,data_center,,,,"{""name"": ""Chick-fil-A Hiring Center"", ""operator"": ""Dennis Sampier"", ""telecom"": ""data_center""}",,not_found,none
8767284091,node,Ergonomic Group,,65 Kreiger Lane,Glastonbury,CT,06033,,41.7070776,-72.5898636,,data_center,,,,"{""addr:city"": ""Glastonbury"", ""addr:housenumber"": ""65"", ""addr:postcode"": ""06033"", ""addr:state"": ""CT"", ""addr:street"": ""Kreiger Lane"", ""name"": ""Ergonomic Group"", ""office"": ""telecommunication"", ""phone"": ""+1 860 563 4353"", ""telecom"": ""data_center"", ""website"": ""https://www.ergogroup.com""}",,not_found,none
8897151054,node,San Jose Colocation Center,CoreSite,55 South Market Street,San Jose,CA,95113,,37.3341181,-121.891646,,data_center,,,,"{""addr:city"": ""San Jose"", ""addr:housenumber"": ""55"", ""addr:postcode"": ""95113"", ""addr:state"": ""CA"", ""addr:street"": ""South Market Street"", ""addr:unit"": ""104"", ""fixme"": ""Somewhere in this building"", ""name"": ""San Jose Colocation Center"", ""official_name"": ""CoreSite Real Estate 55 S Market Street, L.L.C."", ""operator"": ""CoreSite"", ""operator:wikidata"": ""Q5170140"", ""ref"": ""SV1"", ""telecom"": ""data_center"", ""website"": ""https://www.coresite.com/data-center/sv1-san-jose-ca""}",2001.0,wikipedia_city:CoreSite,medium
9092482804,node,Amazon Web Services IAD69,Amazon Web Services,,,,,,39.0254851,-77.4146998,,data_center,,,,"{""name"": ""Amazon Web Services IAD69"", ""operator"": ""Amazon Web Services"", ""operator:short"": ""AWS"", ""operator:wikidata"": ""Q456157"", ""ref"": ""IAD69"", ""telecom"": ""data_center""}",,not_found,none
9190480200,node,Stream Data Centers Houston,,4001 Technology Forest Boulevard,The Woodlands,TX,77381,,30.1781365,-95.4860464,,data_center,,,,"{""addr:city"": ""The Woodlands"", ""addr:housenumber"": ""4001"", ""addr:postcode"": ""77381"", ""addr:state"": ""TX"", ""addr:street"": ""Technology Forest Boulevard"", ""name"": ""Stream Data Centers Houston"", ""telecom"": ""data_center"", ""website"": ""https://www.streamdatacenters.com/datacenters/houston-the-woodlands/""}",1999.0,baxtel:/data-center/stream-houston-woodlands,medium
9669340912,node,Crown Castle Baltimore,Crown Castle Fiber,111 Market Place,Baltimore,MD,21202-4036,,39.2877017,-76.6064893,,data_center,,,,"{""addr:city"": ""Baltimore"", ""addr:housenumber"": ""111"", ""addr:postcode"": ""21202-4036"", ""addr:state"": ""MD"", ""addr:street"": ""Market Place"", ""addr:unit"": ""Suite 123"", ""name"": ""Crown Castle Baltimore"", ""operator"": ""Crown Castle Fiber"", ""phone"": ""+1 877 486 9377"", ""ref"": ""Baltimore"", ""telecom"": ""data_center"", ""website"": ""https://www.crowncastle.com/communities/baltimore-md.aspx""}",,not_found,none
9669405859,node,AiNET One Market Center,AiNET,300 West Lexington Street,Baltimore,MD,21201,,39.2917583,-76.6203737,,data_center,,,,"{""addr:city"": ""Baltimore"", ""addr:housenumber"": ""300"", ""addr:postcode"": ""21201"", ""addr:state"": ""MD"", ""addr:street"": ""West Lexington Street"", ""name"": ""AiNET One Market Center"", ""operator"": ""AiNET"", ""phone"": ""+1 301 931 6574"", ""ref"": ""BW1"", ""telecom"": ""data_center"", ""website"": ""https://www.ai.net/""}",1993.0,baxtel:/data-center/ainet-one-market-center,medium
9669639033,node,Lumen McLean,Lumen Technologies,1755 Old Meadow Road,McLean,VA,22102,,38.9208538,-77.2115713,,data_center,,,,"{""addr:city"": ""McLean"", ""addr:housenumber"": ""1755"", ""addr:postcode"": ""22102"", ""addr:state"": ""VA"", ""addr:street"": ""Old Meadow Road"", ""name"": ""Lumen McLean"", ""operator"": ""Lumen Technologies"", ""operator:wikidata"": ""Q5063092"", ""telecom"": ""data_center""}",2019.0,baxtel:/data-center/lumen-mclean-1,medium
9721703993,node,TierPoint Milwaukee,,,,,,,43.0093779,-87.9610618,,data_center,,,,"{""name"": ""TierPoint Milwaukee"", ""telecom"": ""data_center""}",,not_found,none
9736262934,node,Frontier Science,,4033 Maple Road,Amherst,NY,14226,,42.9902011,-78.8123836,,data_center,,,,"{""addr:city"": ""Amherst"", ""addr:housenumber"": ""4033"", ""addr:postcode"": ""14226"", ""addr:state"": ""NY"", ""addr:street"": ""Maple Road"", ""name"": ""Frontier Science"", ""phone"": ""+1-716-834-0900"", ""telecom"": ""data_center"", ""website"": ""https://www.frontierscience.org""}",,not_found,none
9808044830,node,505 Marquette,,505 Marquette Avenue Northwest,Albuquerque,NM,87102,,35.0886289,-106.6526456,,data_center,,,,"{""addr:city"": ""Albuquerque"", ""addr:housenumber"": ""505"", ""addr:postcode"": ""87102"", ""addr:state"": ""NM"", ""addr:street"": ""Marquette Avenue Northwest"", ""name"": ""505 Marquette"", ""telecom"": ""data_center""}",,not_found,none
9808044840,node,123 Central,bigbyte.cc,123 Central Avenue Northwest,Albuquerque,NM,,,35.0844494,-106.6489853,,data_center,,,,"{""addr:city"": ""Albuquerque"", ""addr:housenumber"": ""123"", ""addr:state"": ""NM"", ""addr:street"": ""Central Avenue Northwest"", ""name"": ""123 Central"", ""operator"": ""bigbyte.cc"", ""telecom"": ""data_center""}",,not_found,none
9861806598,node,,,,,,,,39.1011816,-94.5788209,,data_center,,,,"{""telecom"": ""data_center""}",,not_found,none
9922928085,node,Netrality Data Centers,,1102 Grand Boulevard,Kansas City,MO,64106,,39.1009071,-94.5811452,,data_center,,,,"{""addr:city"": ""Kansas City"", ""addr:housenumber"": ""1102"", ""addr:postcode"": ""64106"", ""addr:state"": ""MO"", ""addr:street"": ""Grand Boulevard"", ""name"": ""Netrality Data Centers"", ""telecom"": ""data_center"", ""website"": ""https://netrality.com/locations/data-center-kansas-city/""}",,not_found,none
10014176940,node,Microsoft,Microsoft,48 Avenida El Caño,Guaynabo,PR,00968,,18.4174359,-66.1089895,,data_center,,,,"{""addr:city"": ""Guaynabo"", ""addr:housenumber"": ""48"", ""addr:postcode"": ""00968"", ""addr:state"": ""PR"", ""addr:street"": ""Avenida El Caño"", ""name"": ""Microsoft"", ""operator"": ""Microsoft"", ""operator:wikidata"": ""Q2283"", ""phone"": ""+1 787-273-3600"", ""telecom"": ""data_center"", ""website"": ""www,microsoft.com/es-pr""}",,not_found,none
10537283366,node,Netrality,Netrality,717 South Wells Street,Chicago,IL,60607,,41.8728811,-87.63344,,data_center,,,,"{""addr:city"": ""Chicago"", ""addr:housenumber"": ""717"", ""addr:postcode"": ""60607"", ""addr:state"": ""IL"", ""addr:street"": ""South Wells Street"", ""name"": ""Netrality"", ""operator"": ""Netrality"", ""telecom"": ""data_center""}",2020.0,baxtel:/data-center/netrality-chicago-717-s-wells,medium
10567817971,node,Brandaleone Lab for Data and Visualization,Duke Libraries,,,,,,36.0030993,-78.9385323,,data_center,,,,"{""description"": ""The Brandaleone Lab for Data and Visualization Services (https://library.duke.edu/data/about/lab) provides research computing for projects involving data analytics, data visualization, digital mapping and statistics. Computers in the lab are available for"", ""name"": ""Brandaleone Lab for Data and Visualization"", ""operator"": ""Duke Libraries"", ""telecom"": ""data_center""}",,not_found,none
10648552506,node,Frontier (supercomputer),Oak Ridge National Laboratory,,,,,,35.9295133,-84.310567,,data_center,,,,"{""name"": ""Frontier (supercomputer)"", ""operator"": ""Oak Ridge National Laboratory"", ""telecom"": ""data_center""}",,not_found,none
10780794741,node,,Ntirety,630 3rd Street,,CA,,,37.7796531,-122.3940005,,data_center,,,,"{""addr:housenumber"": ""630"", ""addr:state"": ""CA"", ""addr:street"": ""3rd Street"", ""operator"": ""Ntirety"", ""telecom"": ""data_center""}",,not_found,none
10796113031,node,VaultLogix,,,,,,,33.627367,-111.9017033,,data_center,,,,"{""name"": ""VaultLogix"", ""telecom"": ""data_center""}",,not_found,none
10796113033,node,Profit Finder Pro Software,,,,,,,33.6272477,-111.9020476,,data_center,,,,"{""name"": ""Profit Finder Pro Software"", ""telecom"": ""data_center""}",,not_found,none
10798644674,node,DataPro USA Web Development,,,,,,,33.6116624,-111.9139825,,data_center,,,,"{""name"": ""DataPro USA Web Development"", ""telecom"": ""data_center""}",,not_found,none
10880725408,node,e360,,1855 Gateway Boulevard,Concord,CA,94520,,37.9710809,-122.0437382,,data_center,,,,"{""addr:city"": ""Concord"", ""addr:housenumber"": ""1855"", ""addr:postcode"": ""94520"", ""addr:state"": ""CA"", ""addr:street"": ""Gateway Boulevard"", ""addr:unit"": ""Suite 730"", ""description"": ""e360 is a platform that delivers solutions to environmental challenges, promoting sustainable practices and a greener future for businesses and individuals worldwide."", ""name"": ""e360"", ""phone"": ""+1-877-368-4797"", ""telecom"": ""data_center"", ""website"": ""https://www.e360.com/""}",,not_found,none
10910879064,node,Digital Realty ORD10,Digital Realty,350 East Cermak Road,Chicago,IL,60616,,41.8533507,-87.6183067,,data_center,,,,"{""addr:city"": ""Chicago"", ""addr:housenumber"": ""350"", ""addr:postcode"": ""60616"", ""addr:state"": ""IL"", ""addr:street"": ""East Cermak Road"", ""name"": ""Digital Realty ORD10"", ""operator"": ""Digital Realty"", ""operator:wikidata"": ""Q5275969"", ""ref"": ""ORD10"", ""telecom"": ""data_center""}",2015.0,baxtel:/data-center/digital-realty-chicago-ord11,medium
10910879065,node,Centersquare Chicago Data Center - ORD1,Centersquare,350 East Cermak Road,Chicago,IL,60616,,41.8533827,-87.6186071,,data_center,,,,"{""addr:city"": ""Chicago"", ""addr:housenumber"": ""350"", ""addr:postcode"": ""60616"", ""addr:state"": ""IL"", ""addr:street"": ""East Cermak Road"", ""name"": ""Centersquare Chicago Data Center - ORD1"", ""operator"": ""Centersquare"", ""operator:wikidata"": ""Q127304226"", ""ref"": ""ORD1"", ""telecom"": ""data_center"", ""website"": ""https://centersquaredc.com/data-centers/chicago#chicagocermak-ord1""}",2019.0,baxtel:/data-center/centersquare-chicago-ord1,medium
10938672218,node,K-Motion Interactive,,,,,,,33.6344843,-111.8843457,,data_center,,,,"{""name"": ""K-Motion Interactive"", ""telecom"": ""data_center""}",,not_found,none
10945121336,node,West Monroe,,,,,,,41.8805271,-87.6359383,,data_center,,,,"{""name"": ""West Monroe"", ""telecom"": ""data_center""}",,not_found,none
11018926315,node,Iron Mountain Data Centers AZS-1,,,,,,,33.6446663,-111.8960985,,data_center,,,,"{""name"": ""Iron Mountain Data Centers AZS-1"", ""telecom"": ""data_center""}",2017.0,baxtel:/data-center/iron-mountain-scottsdale,medium
11098469355,node,CoreSite Chicago Data Center (CH1),CoreSite,427 South LaSalle Street,Chicago,IL,60605,,41.8759405,-87.6314655,,data_center,,,,"{""addr:city"": ""Chicago"", ""addr:housenumber"": ""427"", ""addr:postcode"": ""60605"", ""addr:state"": ""IL"", ""addr:street"": ""South LaSalle Street"", ""clli"": ""CHCGILWU"", ""communication"": ""fiber"", ""name"": ""CoreSite Chicago Data Center (CH1)"", ""old_ref"": ""Western Union"", ""operator"": ""CoreSite"", ""operator:wikidata"": ""Q5170140"", ""ref"": ""CH1"", ""telecom"": ""data_center"", ""telecom:medium"": ""fibre"", ""website"": ""https://www.coresite.com/data-center/ch1-chicago-il""}",2005.0,wikipedia_city:CoreSite,medium
11113161710,node,Accelera Data Systems,,,,,,,33.6647455,-112.1117142,,data_center,,,,"{""name"": ""Accelera Data Systems"", ""telecom"": ""data_center""}",,not_found,none
11167641842,node,Expedient Owings Mills,Expedient,11155 Red Run Boulevard,Owings Mills,MD,21117,,39.4273178,-76.8115503,,data_center,,,,"{""addr:city"": ""Owings Mills"", ""addr:housenumber"": ""11155"", ""addr:postcode"": ""21117"", ""addr:state"": ""MD"", ""addr:street"": ""Red Run Boulevard"", ""addr:unit"": ""200"", ""name"": ""Expedient Owings Mills"", ""operator"": ""Expedient"", ""telecom"": ""data_center"", ""website"": ""https://www.expedient.com/data-centers/baltimore/""}",2009.0,baxtel:/data-center/expedient-baltimore-owings-mills,medium
11168593074,node,Lumen Baltimore,Lumen Technologies,,,,,,39.2917592,-76.6204024,,data_center,,,,"{""name"": ""Lumen Baltimore"", ""operator"": ""Lumen Technologies"", ""operator:wikidata"": ""Q5063092"", ""telecom"": ""data_center""}",,not_found,none
11168593094,node,Expedient Tidepoint,Expedient,,,,,,39.2746554,-76.5916709,,data_center,,,,"{""name"": ""Expedient Tidepoint"", ""operator"": ""Expedient"", ""telecom"": ""data_center"", ""website"": ""https://www.expedient.com/data-centers/baltimore/""}",,not_found,none
11400893880,node,Flexential - Denver - Centennial Data Center,Flexential,12500 East Arapahoe Road,Centennial,CO,80112,,39.5938733,-104.8431597,,data_center,,,,"{""addr:city"": ""Centennial"", ""addr:housenumber"": ""12500"", ""addr:postcode"": ""80112"", ""addr:state"": ""CO"", ""addr:street"": ""East Arapahoe Road"", ""addr:unit"": ""C"", ""name"": ""Flexential - Denver - Centennial Data Center"", ""operator"": ""Flexential"", ""operator:wikidata"": ""Q115417504"", ""telecom"": ""data_center"", ""website"": ""https://www.flexential.com/data-centers/co/denver/centennial-data-center""}",2001.0,baxtel:/data-center/flexential-denver-arapahoe,medium
11666916913,node,EdgeConneX Data Center,EdgeConneX,,,,,,33.3955855,-111.9700762,,data_center,,,,"{""name"": ""EdgeConneX Data Center"", ""operator"": ""EdgeConneX"", ""operator:wikidata"": ""Q115477226"", ""telecom"": ""data_center""}",,not_found,none
11815482844,node,,,,,,,,41.8072817,-83.6276287,,data_center,,,,"{""telecom"": ""data_center""}",,not_found,none
11924506303,node,IT,,,,,,,33.9102899,-117.5030207,,data_center,,,,"{""name"": ""IT"", ""telecom"": ""data_center""}",,not_found,none
11938614120,node,"Alembic Computer Services, Inc.",,,,,,,33.4051307,-111.9773353,,data_center,,,,"{""name"": ""Alembic Computer Services, Inc."", ""telecom"": ""data_center""}",,not_found,none
11938631189,node,J-Curve Technologies,,,,,,,33.4131856,-111.9711539,,data_center,,,,"{""name"": ""J-Curve Technologies"", ""telecom"": ""data_center""}",,not_found,none
